tol,solver,small_count,small_time,med_count,med_time,large_count,large_time,total_count,total_time
0.0001,MadNLP+Ma86 (CPU),16,0.09335357987784043,15,5.761648491450414,29,36.175259756461315,60,14.612357189350696
0.0001,Ipopt+Ma27 (CPU),16,0.03359371208429707,16,0.9240076335505982,30,21.75007730252644,62,8.540968110276534
0.0001,MadNLP+HybridKKT (GPU),16,0.17612736263997242,14,8.484269495955402,23,39.6835328052704,53,16.617817428825965
0.0001,MadNLP+LiftedKKT (GPU),16,0.417244455047431,16,0.7351266595174799,31,8.224003882538149,63,3.9972647214477046
0.0001,MadNCL (GPU),15,3.768102979583391,16,0.9412936506873617,26,26.356468029841707,57,11.474454881694008
1.0e-8,MadNLP+Ma86 (CPU),16,0.13919513414175277,15,7.705352705616299,27,49.1010149091924,58,18.779964688986325
1.0e-8,Ipopt+Ma27 (CPU),16,0.0387767461489581,16,0.9521669670287789,30,22.829418572003405,62,8.87717500306664
1.0e-8,MadNLP+HybridKKT (GPU),16,0.2127821680689852,13,14.700521791653607,18,87.2546163581754,47,30.39630836344974
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.3292896554310829,15,5.59972712701741,28,20.687476154932565,59,10.002581475743291
1.0e-8,MadNCL (GPU),15,3.819218631965711,16,3.0664233582866327,26,41.18608103495379,57,16.76310356418111
