tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),16,0.08008410768027652,7.848258949394449e-7,15,6.248695649838595,7.945863558234123e-7,33,24.8696824784723,1.3368754832043805e-6,64,11.448168696508354,1.0717640677171403e-6
0.0001,Ipopt+Ma27 (CPU),16,0.03471780632906629,0.0006964074449111735,16,0.823137100236023,0.0017800096554712042,34,11.967020062785636,0.0018635494358036908,66,5.302304897529423,0.0015603418563312488
0.0001,MadNLP+HybridKKT (GPU),16,0.18009299996973027,1.1461717104310765e-6,14,8.542999682948622,3.688067504725723e-7,27,20.029637630346777,1.1794759302574676e-7,57,10.55432387280026,4.681864265165814e-7
0.0001,MadNLP+LiftedKKT (GPU),16,0.45668756151247436,0.0007233130629860085,16,1.5249969635526721,0.0017790051858384004,34,2.8285259065764077,0.0018635888080176244,66,1.8952139084393842,0.0015666417666757582
0.0001,MadNCL (GPU),16,0.3936893540674351,0.12351929852512633,16,0.6157832586417484,2.3139162519203964,29,16.19522496350517,4.18807859493023,61,6.81916996370574,2.512234484069527
1.0e-8,MadNLP+Ma86 (CPU),16,0.14057639249670117,7.132497970019358e-8,15,7.867985842611226,1.7835235510688108e-7,31,35.63364157776764,1.7070024149745677e-7,62,15.247053453608675,1.4690633065583825e-7
1.0e-8,Ipopt+Ma27 (CPU),16,0.03983753831394665,6.855371559311152e-8,16,1.0282217442802786,1.7645784566866496e-7,34,12.220472133320527,1.846143486972096e-7,66,5.465124848815989,1.545011034664867e-7
1.0e-8,MadNLP+HybridKKT (GPU),16,0.17426069803452116,6.893562698451206e-8,14,8.883347147254074,1.8066491236368165e-7,23,41.523790219832875,1.921828882700538e-7,53,17.260826019783476,1.5193368341215319e-7
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.24231937762516154,7.132480739358016e-8,15,4.688834360395395,1.7869390056546308e-7,33,7.050964291978985,1.7778186389705297e-7,64,4.53410861175386,1.513813572273648e-7
1.0e-8,MadNCL (GPU),16,1.2919496628110778,2.4682533146247465e-5,16,2.2802577151287,0.006787498995679542,31,17.834076310743402,0.007786633573250157,63,8.341841823532405,0.005561065937465415
