tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),13,1.5347456527421084,1.0651626460855823e-6,8,86.37557868032137,4.933491588587913e-7,2,832.8841675118357,1.3982997224104565e-5,23,118.2746195811352,1.989560271198343e-6
0.0001,Ipopt+Ma27 (CPU),13,0.6587560333021933,2.493861153141097e-6,7,132.76894804735943,8.41237604909395e-6,1,894.6148149785317,1.0319997354457655e-6,21,130.99570346096394,4.397086593499466e-6
0.0001,MadNLP+HybridKKT (GPU),13,0.6173947064909857,8.191724933936939e-7,8,18.093404426320575,7.337000909046765e-7,12,215.8980386016609,7.568647699685016e-7,33,42.318155997455655,7.757945574837777e-7
0.0001,MadNLP+LiftedKKT (GPU),13,0.4026554718771216,0.0005282590280497601,9,7.0930303999326405,0.0025899824316901743,18,59.40646926755227,0.0019533664376378823,40,17.326633873354726,0.001633412688178737
0.0001,MadNCL (GPU),13,0.626927628628895,2.358874231056518e-5,8,51.218171781298196,0.01136760470560283,14,225.27771623595953,0.0038939119958545376,35,53.50997593490762,0.004163723675146613
1.0e-8,MadNLP+Ma86 (CPU),13,3.387027876468027,5.2789193460967e-8,7,96.22711178410555,2.941989940552503e-7,1,833.41742334606,4.188361586443534e-7,21,102.72992867302399,1.5068993342026715e-7
1.0e-8,Ipopt+Ma27 (CPU),13,0.8881704612788344,4.950525500646563e-8,6,126.27874827130083,3.080584889403326e-7,0,899.9999999999997,-9.0,19,103.93063724463761,1.311536426129578e-7
1.0e-8,MadNLP+HybridKKT (GPU),13,0.5204444558575414,4.9883110975201816e-8,6,40.028718455690154,1.8285622260805212e-7,8,259.1094002562584,1.8565131298942106e-7,27,44.95120359721313,1.1966030477594813e-7
1.0e-8,MadNLP+LiftedKKT (GPU),13,0.9506844088060618,5.2789193460967e-8,8,13.642189562343969,2.6976461420247233e-7,12,239.19334858929253,1.557083422198957e-7,33,35.5699467133092,1.4281444116193143e-7
1.0e-8,MadNCL (GPU),12,4.998112299658587,1.736363657300899e-7,5,89.39490218479955,4.154036989945098e-7,5,476.1271588312557,5.533242362076862e-7,22,82.9081723202808,3.1487618556980124e-7
