tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),16,0.07898861491345954,2.520899313296354e-6,15,6.239233669654091,4.4270132271151397e-7,33,23.679429114769917,1.1322045683215265e-6,64,11.064311922158925,1.3177759043969672e-6
0.0001,Ipopt+Ma27 (CPU),16,0.04453716396315244,1.4947429658462852e-6,16,0.948009784176362,7.3525607824365125e-6,34,11.79686917962469,5.901513608463915e-6,66,5.287198495884191,5.184974352090421e-6
0.0001,MadNLP+HybridKKT (GPU),16,0.17396963924606368,1.1486931796866884e-6,14,8.424153652639273,3.6886558518745005e-7,27,20.056025804633393,1.1794920595775693e-7,57,10.52860334076674,4.689094215137857e-7
0.0001,MadNLP+LiftedKKT (GPU),16,0.42616600843823527,0.0007233130628510054,16,1.0192890997355715,0.0017790051703165943,34,2.427197935325893,0.0018635890273195344,66,1.567230906991739,0.0015666418758506495
0.0001,MadNCL (GPU),15,3.6640707415002396,2.8064053047671678e-5,15,4.633949416959824,0.005874794077305623,34,5.277503161561812,0.002659708741182598,64,4.7153438775550764,0.0027962513475916495
1.0e-8,MadNLP+Ma86 (CPU),16,0.1491899270182664,7.187365902439069e-8,15,7.568076347608844,1.782897651736448e-7,32,37.53714981105572,1.5309423595510907e-7,63,15.683892945939157,1.3846572244347044e-7
1.0e-8,Ipopt+Ma27 (CPU),16,0.04709034404528545,6.855371559311152e-8,16,1.121567129285177,1.7645784566866496e-7,34,13.09262669492336,1.846143486972096e-7,66,5.809939710635044,1.545011034664867e-7
1.0e-8,MadNLP+HybridKKT (GPU),16,0.19598207085639885,6.948447861532259e-8,14,8.573916818878,1.8023899528429865e-7,25,31.070747457018292,1.8776179544488514e-7,55,14.170987155450732,1.514389538215255e-7
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.569441860656891,7.132630486239577e-8,15,4.553597446666982,1.7824021547596658e-7,31,12.58954419414184,1.5253831620043456e-7,62,6.890975615131225,1.3779857788165373e-7
1.0e-8,MadNCL (GPU),14,8.14142559408431,9.108894261089517e-8,14,9.897136797637277,1.7743837332773182e-7,29,17.53867300078967,2.2019698242559116e-7,57,13.002742098352094,1.7798412166314392e-7
