tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),15,14.643079778511662,8.273783826950876e-7,5,387.6656442321362,1.782174443576423e-7,0,899.9999999999999,-9.0,20,171.84668919444616,6.650881463343694e-7
0.0001,Ipopt+Ma27 (CPU),15,12.136048205241401,1.8254139497742017e-6,4,627.0192834732103,9.810896628437149e-8,0,899.9999999999999,-9.0,19,185.6288408563955,1.461770770205817e-6
0.0001,MadNLP+HybridKKT (GPU),10,49.80184093026087,2.3507016368995437e-6,0,900.0000000000003,-9.0,0,899.9999999999999,-9.0,10,304.51803433309954,2.3507016368995437e-6
0.0001,MadNLP+LiftedKKT (GPU),16,3.1282667935944755,0.0005702659905182372,8,100.59496201912151,0.0011515999794760035,15,305.46341932439117,0.0008943982819786811,39,60.64725446018011,0.000814177742554989
0.0001,MadNCL (GPU),16,2.3454426510946913,0.00012560323655641525,9,137.52818066739468,0.008656992373722971,8,714.8377954037772,0.0005883978910716792,33,90.31763670589437,0.002563841033484948
1.0e-8,MadNLP+Ma86 (CPU),16,10.10194164755822,5.663326874127961e-8,4,446.24948395598176,8.857081468249817e-8,0,900.0,-9.0,20,55.36906974387867,6.302077970588016e-8
1.0e-8,Ipopt+Ma27 (CPU),15,16.675045163728942,5.144516634913998e-8,1,642.3381371019813,6.232062332856003e-8,0,900.0,-9.0,16,76.59304094193104,5.212488218830913e-8
1.0e-8,MadNLP+HybridKKT (GPU),12,28.25838917780556,2.7214317910306818e-8,0,899.9999999999997,-9.0,0,900.0,-9.0,12,109.72917137801252,2.7214317910306818e-8
1.0e-8,MadNLP+LiftedKKT (GPU),14,11.865098857901945,5.511171252692293e-8,6,119.75374004499338,1.5297417554904769e-7,1,861.228626296906,8.838089016194317e-8,21,38.3420500499191,8.465666212487122e-8
1.0e-8,MadNCL (GPU),14,10.567443358336742,5.437255268248009e-8,4,297.6902764672021,1.1351324324948564e-7,1,821.5503438142056,6.385882755921557e-8,19,48.97912678706279,6.732250135144113e-8
