tol,solver,small_count,small_time,med_count,med_time,large_count,large_time,total_count,total_time
0.0001,MadNLP+Ma86 (CPU),16,0.08008410768027652,15,6.248695649838595,33,24.8696824784723,64,11.448168696508354
0.0001,Ipopt+Ma27 (CPU),16,0.03471780632906629,16,0.823137100236023,34,11.967020062785636,66,5.302304897529423
0.0001,MadNLP+HybridKKT (GPU),16,0.17635460035839756,14,8.468185897384835,27,20.17741251097156,57,10.584349342806842
0.0001,MadNLP+LiftedKKT (GPU),16,0.4243348392546249,16,0.8150098553408771,34,2.440026190443273,66,1.52050832481482
0.0001,MadNCL (GPU),16,0.3854363316459217,12,24.613601532488588,26,32.14389790752205,54,18.61154298507333
1.0e-8,MadNLP+Ma86 (CPU),16,0.14057639249670117,15,7.867985842611226,29,45.69055969146639,60,17.974960352784368
1.0e-8,Ipopt+Ma27 (CPU),16,0.03983753831394665,16,1.0282217442802786,34,12.220472133320527,66,5.465124848815989
1.0e-8,MadNLP+HybridKKT (GPU),16,0.1934080070662425,14,8.601816667759948,20,62.30374782001546,50,22.356502594004226
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.5621096577192102,15,4.655688754725862,31,11.41931486023546,62,6.459501095878956
1.0e-8,MadNCL (GPU),15,3.8499765432567017,13,17.368921585227476,31,18.242135042909126,59,13.581589893279634
