tol,solver,small_count,small_time,med_count,med_time,large_count,large_time,total_count,total_time
0.0001,MadNLP+Ma86 (CPU),16,0.08008410768027652,15,6.248695649838595,33,24.8696824784723,64,11.448168696508354
0.0001,Ipopt+Ma27 (CPU),16,0.03471780632906629,16,0.823137100236023,34,11.967020062785636,66,5.302304897529423
0.0001,MadNLP+HybridKKT (GPU),16,0.18009299996973027,14,8.542999682948622,27,20.029637630346777,57,10.55432387280026
0.0001,MadNLP+LiftedKKT (GPU),16,0.45668756151247436,16,1.5249969635526721,34,2.8285259065764077,66,1.8952139084393842
0.0001,MadNCL (GPU),16,0.3936893540674351,16,0.6157832586417484,29,16.19522496350517,61,6.81916996370574
1.0e-8,MadNLP+Ma86 (CPU),16,0.14057639249670117,15,7.867985842611226,29,45.69055969146639,60,17.974960352784368
1.0e-8,Ipopt+Ma27 (CPU),16,0.03983753831394665,16,1.0282217442802786,34,12.220472133320527,66,5.465124848815989
1.0e-8,MadNLP+HybridKKT (GPU),16,0.17426069803452116,14,8.883347147254074,20,63.56632982955357,50,22.75051689322604
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.24231937762516154,15,4.688834360395395,31,11.340921037554661,62,6.315381707878554
1.0e-8,MadNCL (GPU),16,1.2919496628110778,16,2.2802577151287,31,17.834076310743402,63,8.341841823532405
