tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),16,0.08008410768027652,7.848258949394449e-7,15,6.248695649838595,7.945863558234123e-7,33,24.8696824784723,1.3368754832043805e-6,64,11.448168696508354,1.0717640677171403e-6
0.0001,Ipopt+Ma27 (CPU),16,0.03471780632906629,0.0006964074449111735,16,0.823137100236023,0.0017800096554712042,34,11.967020062785636,0.0018635494358036908,66,5.302304897529423,0.0015603418563312488
0.0001,MadNLP+HybridKKT (GPU),16,0.1741179987317807,1.0617173114013667e-6,14,8.459866646422768,3.688649652389131e-7,26,23.661017627080277,1.2192222520468476e-7,56,11.772487639949265,4.521707825944077e-7
0.0001,MadNLP+LiftedKKT (GPU),16,0.42019544692869104,0.0007233130627604112,16,1.3117633164076405,0.0017790051743205026,33,4.049759620107242,0.0018322773881962462,65,2.398879582315079,0.001546177316605224
0.0001,MadNCL (GPU),16,0.33439842667190867,0.0014079279543413037,15,4.359681520578791,0.05120730834227771,30,16.42837464979881,0.0549140222060025,61,8.15469780884391,0.0399416659953129
1.0e-8,MadNLP+Ma86 (CPU),16,0.14057639249670117,7.132497970019358e-8,15,7.867985842611226,1.7835235510688108e-7,31,35.63364157776764,1.7070024149745677e-7,62,15.247053453608675,1.4690633065583825e-7
1.0e-8,Ipopt+Ma27 (CPU),16,0.03983753831394665,6.855371559311152e-8,16,1.0282217442802786,1.7645784566866496e-7,34,12.220472133320527,1.846143486972096e-7,66,5.465124848815989,1.545011034664867e-7
1.0e-8,MadNLP+HybridKKT (GPU),16,0.20355128856874316,6.893562698451206e-8,14,8.632777877579585,1.8023899528429865e-7,26,27.024698506031896,1.833110019333617e-7,56,12.935206636734549,1.4986432006480754e-7
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.3115560822608483,7.170501881148539e-8,15,5.209838874911462,1.783562151302931e-7,33,7.346527675579971,1.7869593271768736e-7,64,4.81195015150317,1.51868581710346e-7
1.0e-8,MadNCL (GPU),14,8.157423191215106,1.4833441852601936e-7,13,17.897664141716145,5.183825528831676e-6,29,26.43748196712403,6.0650854774024765e-6,56,18.846953564423824,4.381319204327383e-6
