tol,solver,small_count,small_time,small_cvio,med_count,med_time,med_cvio,large_count,large_time,large_cvio,total_count,total_time,total_cvio
0.0001,MadNLP+Ma86 (CPU),16,0.09335357987784043,8.446454398125525e-7,15,5.761648491450414,6.6690540201364e-7,29,36.175259756461315,1.2712081112198348e-6,60,14.612357189350696,1.0063823854267184e-6
0.0001,Ipopt+Ma27 (CPU),16,0.03359371208429707,0.0006980451144737998,16,0.9240076335505982,0.0017800035052868424,30,21.75007730252644,0.00192783766377147,62,8.540968110276534,0.0015723076185416573
0.0001,MadNLP+HybridKKT (GPU),16,0.1783802066017195,9.98171802990555e-7,14,8.575547427947473,2.1436462898094533e-6,23,40.03341185452747,1.210262361439618e-7,53,16.747572560075675,9.201018595916821e-7
0.0001,MadNLP+LiftedKKT (GPU),16,0.17191355658897045,0.0007321651939591334,16,0.7470802916890094,0.0017790083843873816,31,8.909570358907004,0.001911442392383833,63,4.187737209601202,0.001578297055628397
0.0001,MadNCL (GPU),12,22.390221143837095,0.0005640054524675975,11,44.493267737734655,0.002080379456808501,9,329.1274002073598,0.0018970140463494545,32,113.20059940991051,0.0014601433332419589
1.0e-8,MadNLP+Ma86 (CPU),16,0.13919513414175277,7.218763009575468e-8,15,7.705352705616299,1.79332118932507e-7,28,43.83255553377226,1.8058502959661382e-7,59,17.42842642943396,1.5087058891083416e-7
1.0e-8,Ipopt+Ma27 (CPU),16,0.0387767461489581,6.869747970483786e-8,16,0.9521669670287789,1.7645784566866496e-7,30,22.829418572003405,1.9182697563735474e-7,62,8.87717500306664,1.5608539349898365e-7
1.0e-8,MadNLP+HybridKKT (GPU),16,0.200849394716073,6.907835370384419e-8,14,8.701386829609472,1.8023899350794181e-7,22,49.91357147772037,1.92920683872444e-7,52,19.41343526997771,1.5140105169564322e-7
1.0e-8,MadNLP+LiftedKKT (GPU),16,0.29773753502062306,7.257176193320447e-8,16,2.0001851052651105,1.769111719340799e-7,28,19.188409522554302,1.8058064732429102e-7,60,8.278470899792481,1.5079975135279255e-7
1.0e-8,MadNCL (GPU),11,33.13640376548484,5.276913661589333e-8,4,322.09191301421447,3.2756379297893545e-7,2,748.9881533080753,1.3160256528976788e-7,17,299.95408090725607,1.2670122195856948e-7
